Input,Table,Output
What is the name of the customer who has the most loyalty points in the last quarter in a certain category?,id name customer_id category_id loyalty_points quarter ,1
What is the name of the employee who has the highest sales in the last year in a certain department?,id name employee_id department_id sales year ,1
What is the name of the product with the highest sales in the last month in a certain region?,id name product_id region_id sales sale_date ,1
What is the name of the customer who has the highest spending in a certain category in the last quarter?,id name customer_id category_id spending quarter ,1
What is the total number of customers who made a purchase in a certain store in the last week?,id name customer_id store_id purchase_date ,1
What is the average rating of a certain product based on customer reviews in the last month?,id product_id customer_id rating review_date ,1
What is the name of the employee who has the highest salary in a certain department in the last year?,id name employee_id salary hire_date department_id review_date ,1
What is the name of the customer who has the highest number of orders in a certain category in the last quarter?,id name customer_id category_id quantity order_date ,1
What is the name of the supplier who provides the lowest cost for a certain material in the last year?,id name supplier_id material_id cost order_date ,1
What is the name of the employee who has the most training hours in a certain department in the last month?,id name employee_id department_id training_hours month ,1
What is the name of the customer who spent the most money in a certain category in the last week?,id name customer_id category_id spending week ,1
What is the name of the employee who has the highest sales in a certain region in the last quarter?,id name employee_id region_id sales sale_date ,1
What is the name of the product with the highest rating based on customer reviews in the last month in a certain category?,id name product_id category_id rating review_date ,1
What is the name of the customer who made the most returns in a certain store in the last year?,id name customer_id store_id returns return_date ,1
What is the name of the employee who has the highest commission in a certain department in the last quarter?,id name employee_id department_id commission quarter ,1
What is the name of the supplier who provides the highest quality for a certain material in the last year?,id name supplier_id material_id quality order_date ,1
What is the name of the customer who made the most purchases in a certain category in the last month?,id name customer_id category_id purchases sale_date ,1
What is the name of the employee who has the highest attendance in a certain department in the last year?,id name employee_id department_id attendance year ,1
What is the name of the customer who made the most purchases with a certain payment method in the last quarter in a certain store?,id name customer_id payment_method_id purchases store_id sale_date ,1
What is the name of the customer who placed an order with the order ID '789012'?,CustomerName OrderID OrderAmount Date ,1
What is the weight of the product with the product code 'ABC'?,ProductCode ItemName Weight Price ,1
What is the total sales revenue for the product with product code 'QRS' in the month of November?,ProductCode ItemName SalesRevenue Month ,1
What is the price of the product with the ISBN code 978-0-451-16771-1?,ISBN ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the year 2032?,CustomerName OrderNumber OrderAmount Year ,1
What is the salary of the employee with employee ID 8901?,EmployeeID Name Salary Department ,1
What is the publisher of the book with the ISBN code 978-1-250-07854-4?,ISBN Title Author Publisher ,1
What is the total expenditure for the year 2033?,Date Expenditure ,1
What is the name of the student who is enrolled in the course with course code 'ENG101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the lowest salary?,Name Salary ,1
What is the quantity on hand for the product with the product ID '345678'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product F?,SupplierName ProductName RawMaterials Email ,1
What is the billing address of the order with order number 9012?,OrderNumber CustomerName BillingAddress OrderAmount ,1
What is the name of the employee who is responsible for managing marketing?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'The Godfather'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title 'The Great Gatsby'?,Title Author ISBN ,1
What is the price of the product with the UPC code '444333222111'?,UPC ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of December?,Name PurchaseAmount Month ,1
What is the name of the employee who has the most sick days left?,Name SickDays ,1
What is the rating of the movie with the title 'The Dark Knight'?,Title Rating Genre ,1
What is the address of the customer who placed an order with the order ID '789012'?,CustomerName Address OrderID OrderAmount Date ,1
What is the age of the employee with employee ID 123?,EmployeeID Name Age Department Salary ,1
What is the name of the student who has the highest grade in the course with course code 'MAT101'?,StudentName StudentID CourseCode Grade ,1
What is the weight of the package with the tracking number '123456789'?,TrackingNumber Weight Sender Receiver DeliveryDate ,1
What is the email address of the customer who placed the most orders in the last month?,CustomerName Email OrderNumber OrderAmount OrderDate ,1
What is the price of the product with the product code 'XYZ'?,ProductCode ProductName Price Quantity ,1
What is the name of the supplier who provided the raw materials for product 'ABC'?,SupplierName ProductName RawMaterials Price ,1
What is the billing address of the customer who placed an order with order number 5678?,OrderNumber CustomerName BillingAddress ShippingAddress OrderAmount ,1
What is the name of the employee who has been with the company for the longest time?,Name HireDate Department Salary ,1
What is the title of the book with the ISBN code '978-3-16-148410-0'?,ISBN Title Author Publisher ,1
What is the name of the customer who purchased the most expensive item last month?,CustomerName ItemName Price PurchaseDate ,1
What is the quantity sold of the product with the product ID '567890'?,ProductID ProductName QuantitySold Price ,1
What is the name of the employee who is in charge of the IT department?,Name Department Position Salary ,1
What is the country of origin of the product with the UPC code '123456789012'?,UPC ProductName CountryOfOrigin Price ,1
What is the release date of the album with the title 'Thriller'?,Title ReleaseDate Artist Genre ,1
What is the name of the customer who placed the last order?,CustomerName OrderNumber OrderAmount OrderDate ,1
What is the name of the supplier who provides the most raw materials?,SupplierName RawMaterials Price Quantity ,1
What is the number of sales for the product with the product code 'DEF' in the month of August?,ProductCode ProductName Sales Month ,1
What is the name of the employee who has the highest bonus?,Name Salary Bonus ,1
What is the balance of the account with account number '123456'?,AccountNumber CustomerName Balance DateOpened ,1
What is the phone number of the customer who made the largest purchase last month?,CustomerName Phone PurchaseAmount PurchaseDate ,1
What is the make and model of the car rented by customer 'ABC123'?,CustomerID CarMake CarModel RentalDate ,1
What is the name of the student who has the lowest grade in the course with course code 'PHY101'?,StudentName StudentID CourseCode Grade ,1
What is the number of employees in the company?,EmployeeID Name Department Salary ,0
What is the total revenue generated from sales of product 'XYZ'?,ProductCode ProductName Price QuantitySold ,1
What is the name of the customer who has the most loyalty points?,CustomerName LoyaltyPoints LastPurchaseDate ,1
What is the number of orders placed by the customer with the email address 'example@example.com'?,CustomerName Email OrderNumber OrderAmount OrderDate ,1
What is the name of the employee who has the highest number of sick days?,Name SickDays Department Salary ,1
What is the title of the book written by author 'John Smith'?,ISBN Title Author Publisher ,0
What is the address of the store with store number '456'?,StoreNumber Address ManagerName Phone ,1
What is the price of the item with item ID '98765'?,ItemID ItemName Price Stock ,1
What is the name of the customer who made the most purchases in the last year?,CustomerName Email OrderNumber OrderAmount OrderDate ,1
What is the date of birth of the employee with employee ID '789'?,EmployeeID Name DateOfBirth Department Salary ,1
What is the quantity of product 'ABC' in stock?,ProductCode ProductName Price QuantityInStock ,1
What is the name of the student who has the highest GPA?,StudentName StudentID CourseCode Grade ,0
What is the price of the product with the UPC code '123456789'?,UPC ProductName Price QuantityInStock ,1
What is the name of the customer who has the highest total spending?,CustomerName Email OrderNumber OrderAmount OrderDate ,1
What is the name of the employee who received the highest performance rating?,Name Department Position PerformanceRating ,1
What is the name of the supplier who provides the most expensive raw materials?,SupplierName RawMaterials Price Quantity ,1
What is the GPA of the student with student ID '12345'?,StudentID StudentName GPA Major ,1
What is the email address of the customer who purchased the most items last month?,CustomerName Email PurchaseAmount PurchaseDate ,1
What is the brand of the laptop with serial number 'ABC123'?,SerialNumber Brand Model Price ,1
What is the name of the student who has the highest grade in the course with course code 'MTH101'?,StudentName StudentID CourseCode Grade ,1
What is the name of the employee who has the most years of service in the company?,EmployeeID Name HireDate Department ,1
What is the price of the product with product ID '456'?,ProductID ProductName Price Stock ,1
What is the name of the customer who has the most recent order?,CustomerName Email OrderNumber OrderAmount OrderDate ,1
What is the name of the employee who is responsible for the project with project code '123'?,EmployeeID Name ProjectCode Department ,1
What is the name of the customer who has the highest credit limit?,CustomerName CreditLimit LastPurchaseDate ,1
What is the name of the author who has written the most books?,ISBN Title Author Publisher ,1
What is the name of the employee who has the highest salary in the company?,EmployeeID Name Department Salary ,1
What is the name of the customer who has the most loyalty points?,CustomerName LoyaltyPoints LastPurchaseDate ,1
What is the address of the store with store ID '789'?,StoreID Address ManagerName Phone ,1
What is the name of the customer who made the largest purchase last year?,CustomerName Email PurchaseAmount PurchaseDate ,1
What is the name of the employee who has the most vacation days left?,Name VacationDays Department Salary ,1
What is the price of the item with item code 'ABC123'?,ItemCode ItemName Price Stock ,1
What is the name of the customer who has the highest number of referrals?,CustomerName ReferralCount LastPurchaseDate ,1
What is the name of the employee who has the highest commission rate?,Name Department CommissionRate Salary ,1
What is the name of the supplier who provides the most raw materials?,SupplierName RawMaterials Price Quantity ,1
What is the name of the customer who has the most items in their shopping cart?,CustomerName Email CartItemCount LastCartUpdate ,1
What is the price of the product with id 12345,id name price ,1
How many emails has user john@example.com sent,user_id email_content ,0
What is the shipping address for order number 67890,order_number shipping_address ,1
How many students are enrolled in course CS101,course_id student_id ,1
What is the average salary of employees in the finance department,name department salary ,1
What is the date of the last order for customer with ID 54321,customer_id order_date ,1
What is the total revenue from sales in the month of August,sale_date revenue ,1
Who is the manager of the sales department,name department manager ,1
How many items are in stock,item_id quantity ,1
What is the name of the product with SKU number 123456,sku name description ,1
Who was the last person to modify the file,filename user_id modification_time ,1
What is the average rating for the movie The Shawshank Redemption,movie_title rating ,1
What is the age of the youngest employee,name age department ,1
How many comments were posted on the article 10 Tips for a Better Night's Sleep,article_title comment ,1
What is the phone number of the customer with ID 98765,customer_id phone_number ,1
How many orders were placed by the customer with ID 12345,customer_id order_id ,1
What is the price of the product with name iPhone 13,name price ,1
What is the name of the employee with ID 54321,employee_id name department ,1
How many people attended the conference,conference_id attendee_id ,1
What is the email address of the customer with ID 12345,customer_id email_address ,1
What is the total sales revenue for the month of March?,date salesRevenue ,1
What is the price of the product with ID 1234?,productID productName price ,1
How many employees are currently working in the company?,employeeID name department hireDate ,1
What is the email address of the customer with name John Smith?,customerID name email phone ,1
What is the shipping address for order number 5678?,orderNumber customerID shippingAddress orderDate ,1
What is the date of the last transaction made by the customer with ID 9876?,customerID transactionDate transactionAmount ,1
How many units of product XYZ were sold in the month of June?,productID productName unitsSold salesDate ,1
What is the name of the employee with ID 7890?,employeeID name department hireDate ,1
What is the phone number of the customer with email jane@example.com?,customerID name email phone ,1
What is the order total for order number 1234?,orderNumber customerID orderTotal orderDate ,1
What is the color of the product with ID 5678?,productID productName color ,1
What is the salary of the employee with name John Smith?,employeeID name salary ,0
How many orders were placed on January 1st 2022?,orderNumber orderDate customerID ,0
What is the name of the product with SKU ABCD?,productID productName SKU ,0
What is the address of the customer with phone number 555-1234?,customerID name email phone address ,1
How many units of product ABC are in stock?,productID productName unitsInStock ,1
What is the name of the department that employee Jane Doe works in?,employeeID name department ,0
How many orders were placed by the customer with email john@example.com?,orderNumber customerID orderDate orderTotal ,1
What is the price of the product with name Chair?,productID productName price ,0
What is the hire date of the employee with ID 9999?,employeeID name department hireDate ,1
What is the price of the book with the ISBN number 1234-5678-9012?,ISBN Title Author Price ,1
What is the name of the student who got the highest grade?,Name ID Grade ,1
What is the email address of the customer with ID number 123?,ID Name Email ,1
What is the date of the customer's last purchase?,ID Name LastPurchaseDate ,1
What is the address of the supplier with the ID number 456?,ID Name Address Phone ,1
What is the total sales for the month of January?,Date Sales ,1
What is the name of the product with the SKU number 789?,SKU ProductName Price Stock ,1
What is the average rating for the product with the ID number 987?,ID ProductName Rating ,1
What is the quantity on hand for the product with the ID number 654?,ID ProductName QuantityOnHand ,1
What is the name of the employee who made the highest sales in the month of June?,Name Sales Month ,1
What is the make and model of the car with the license plate number XYZ123?,LicensePlate Make Model Year ,1
What is the color of the shirt with the product code 7890?,ProductCode ProductName Color ,1
What is the weight of the package with the tracking number 123456789?,TrackingNumber Weight DeliveryStatus ,1
What is the name of the supplier who provided the raw materials for product X?,SupplierName ProductName RawMaterials ,1
What is the address of the customer who placed order number 456?,OrderNumber CustomerName CustomerAddress ,1
What is the name of the employee who has been with the company the longest?,Name HireDate ,1
What is the title of the book written by author X?,Title Author ISBN ,1
What is the price of the product with the SKU number 1234?,SKU ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of July?,Name PurchaseAmount Month ,1
What is the duration of the movie with the title 'The Avengers'?,Title Duration Genre ,1
What is the name of the employee who has the highest salary?,Name Salary ,0
What is the price of the book with the author J.K. Rowling?,ISBN Title Author Price ,0
What is the color of the car with the VIN number 123456789?,VIN Make Model Color ,1
What is the name of the student who is enrolled in the course with course code 'CS101'?,StudentName StudentID CourseCode ,1
What is the email address of the employee with employee ID 1234?,EmployeeID Name Email Department ,1
What is the total number of customers who made a purchase in the month of January?,Date CustomerID PurchaseAmount ,1
What is the price of the product with the product code 'ABC123'?,ProductCode ProductName Price Stock ,1
What is the date of the most recent login for the user with username 'johnsmith'?,Username LastLoginDate ,1
What is the title of the book with the ISBN number 978-3-16-148410-0?,ISBN Title Author Publisher ,1
What is the total amount of sales for the year 2022?,Date Sales ,1
What is the name of the student with student ID 'A001'?,StudentID Name Age GPA ,1
What is the name of the employee who has the highest sales in the month of June?,Name Sales Month ,1
What is the address of the customer who placed the order with order number 12345?,OrderNumber CustomerName CustomerAddress OrderAmount ,1
What is the name of the supplier who provides the raw materials for product X?,SupplierName ProductName RawMaterials ,1
What is the delivery status of the package with the tracking number 987654321?,TrackingNumber Weight DeliveryStatus ,1
What is the name of the employee who has been with the company for the longest time?,Name HireDate ,1
What is the date of birth of the customer with customer ID 1234?,CustomerID Name DateOfBirth Address ,1
What is the make and model of the car with the license plate number ABC1234?,LicensePlate Make Model Year ,1
What is the name of the author who wrote the book with the title 'The Da Vinci Code'?,Title Author ISBN ,1
What is the price of the product with the SKU number 5678?,SKU ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of July?,Name PurchaseAmount Month ,1
What is the duration of the movie with the title 'Avatar'?,Title Duration Genre ,1
What is the phone number of the customer with the ID number 1234?,ID Name Email Phone ,1
What is the name of the student who has the highest GPA in the class?,Name StudentID GPA ,1
What is the salary of the employee with employee ID 456?,EmployeeID Name Department Salary ,1
What is the total number of orders placed by the customer with customer ID 789?,CustomerID OrderNumber OrderAmount ,1
What is the quantity on hand for the product with the product code 'XYZ123'?,ProductCode ProductName QuantityOnHand Price ,1
What is the name of the customer who purchased the most products in the month of December?,CustomerName PurchaseAmount Month ,1
What is the title of the movie that was released in the year 2021?,Title ReleaseDate Genre ,1
What is the number of employees in the IT department?,Department EmployeeCount ,1
What is the name of the student who is enrolled in the course with course code 'ENG101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the most years of experience?,Name HireDate ,1
What is the price of the product with the product ID '123456'?,ProductID ProductName Price Stock ,1
What is the email address of the supplier who provided the raw materials for product Y?,SupplierName ProductName RawMaterials Email ,1
What is the status of the order with order number 9876?,OrderNumber OrderStatus OrderAmount ,1
What is the name of the employee who is responsible for handling customer complaints?,Name Department Responsibility ,1
What is the year of production for the movie with the title 'The Matrix'?,Title Year Genre ,1
What is the name of the artist who painted the painting with the title 'Starry Night'?,Title Artist Year ,1
What is the stock level of the product with the SKU number 9876?,SKU ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the year 2021?,Name PurchaseAmount Year ,1
What is the name of the employee who has the most overtime hours?,Name OvertimeHours ,1
What is the duration of the movie with the title 'Jurassic Park'?,Title Duration Genre ,1
What is the name of the customer who made a purchase on January 1st 2022?,CustomerName PurchaseAmount Date ,0
What is the name of the customer who made a purchase with the highest total amount?,CustomerName CustomerID PurchaseAmount ,1
What is the date of birth of the employee with employee ID 5678?,EmployeeID Name DateOfBirth Department ,1
What is the total number of items sold for the month of February?,Date ItemName QuantitySold ,1
What is the price of the product with the UPC code 123456789012?,UPC ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the year 2022?,CustomerName OrderNumber OrderAmount Year ,1
What is the department of the employee with employee ID 9012?,EmployeeID Name Department Salary ,1
What is the title of the book with the author Jane Austen?,ISBN Title Author Publisher ,1
What is the total revenue for the year 2021?,Date Revenue ,1
What is the name of the student who is enrolled in the course with course code 'HIS101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the highest bonus?,Name Bonus ,1
What is the quantity on hand for the product with the product ID '987654'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product Z?,SupplierName ProductName RawMaterials Email ,1
What is the shipping address of the order with order number 1234?,OrderNumber CustomerName CustomerAddress OrderAmount ,1
What is the name of the employee who is responsible for managing inventory?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'Titanic'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title 'The Great Gatsby'?,Title Author ISBN ,1
What is the price of the product with the UPC number 987654321098?,UPC ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of August?,Name PurchaseAmount Month ,1
What is the name of the employee who has the most sick leave hours?,Name SickLeaveHours ,1
What is the duration of the movie with the title 'The Godfather'?,Title Duration Genre ,1
What is the date of hire for the employee with employee ID 1234?,EmployeeID Name HireDate Salary ,1
What is the name of the customer who made a purchase with a credit card ending in '1234'?,CustomerName CreditCardNumber PurchaseAmount ,1
What is the total number of products sold in the category 'Electronics' for the month of March?,Category ItemName QuantitySold Month ,1
What is the price of the product with the EAN code 1234567890123?,EAN ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the month of October?,CustomerName OrderNumber OrderAmount Month ,1
What is the department of the employee with employee ID 3456?,EmployeeID Name Department Salary ,1
What is the title of the book with the ISBN number 978-0-06-112008-4?,ISBN Title Author Publisher ,1
What is the total profit for the year 2023?,Date Profit ,1
What is the name of the student who is enrolled in the course with course code 'PHY101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the lowest salary?,Name Salary ,1
What is the quantity on hand for the product with the product ID '654321'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product A?,SupplierName ProductName RawMaterials Email ,1
What is the billing address of the order with order number 5678?,OrderNumber CustomerName BillingAddress OrderAmount ,1
What is the name of the employee who is responsible for managing payroll?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'The Shawshank Redemption'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title 'To Kill a Mockingbird'?,Title Author ISBN ,1
What is the price of the product with the EAN number 9876543210987?,EAN ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the year 2022?,Name PurchaseAmount Year ,1
What is the name of the employee who has the most vacation days left?,Name VacationDays ,1
What is the duration of the movie with the title 'The Dark Knight'?,Title Duration Genre ,1
What is the name of the customer who made a purchase with a discount code 'SAVE20'?,CustomerName DiscountCode PurchaseAmount ,1
What is the color of the product with the SKU number 'ABCD1234'?,SKU ProductName Color Price ,1
What is the total number of units sold for the product with product code 'XYZ' in the month of July?,ProductCode ItemName QuantitySold Month ,1
What is the price of the product with the ISBN code 978-0-14-311063-3?,ISBN ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the year 2024?,CustomerName OrderNumber OrderAmount Year ,1
What is the department of the employee with employee ID 6789?,EmployeeID Name Department Salary ,1
What is the author of the book with the title 'The Catcher in the Rye'?,ISBN Title Author Publisher ,1
What is the total expenditure for the year 2025?,Date Expenditure ,1
What is the name of the student who is enrolled in the course with course code 'CSC101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the highest salary?,Name Salary ,1
What is the quantity on hand for the product with the product ID '123456'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product B?,SupplierName ProductName RawMaterials Email ,1
What is the delivery address of the order with order number 9012?,OrderNumber CustomerName DeliveryAddress OrderAmount ,1
What is the name of the employee who is responsible for managing marketing?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'The Matrix'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title '1984'?,Title Author ISBN ,1
What is the price of the product with the SKU number 'EFGH5678'?,SKU ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of May?,Name PurchaseAmount Month ,1
What is the name of the employee who has the most overtime hours?,Name OvertimeHours ,1
What is the duration of the movie with the title 'Forrest Gump'?,Title Duration Genre ,1
What is the phone number of the customer who made a purchase with a loyalty card number '123456'?,CustomerName LoyaltyCardNumber Phone PurchaseAmount ,1
What is the weight of the product with the UPC code '012345678910'?,UPC ProductName Weight Price ,1
What is the total number of units sold for the product with product code 'ABC' in the month of August?,ProductCode ItemName QuantitySold Month ,1
What is the price of the product with the ISBN code 978-1-85984-736-7?,ISBN ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the year 2026?,CustomerName OrderNumber OrderAmount Year ,1
What is the department of the employee with employee ID 9012?,EmployeeID Name Department Salary ,1
What is the publisher of the book with the title 'Pride and Prejudice'?,ISBN Title Author Publisher ,1
What is the total revenue for the year 2027?,Date Revenue ,1
What is the name of the student who is enrolled in the course with course code 'ENG101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the most seniority?,Name HireDate ,1
What is the quantity on hand for the product with the product ID '789012'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product C?,SupplierName ProductName RawMaterials Email ,1
What is the shipping address of the order with order number 3456?,OrderNumber CustomerName ShippingAddress OrderAmount ,1
What is the name of the employee who is responsible for managing sales?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'The Godfather'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title 'The Great Gatsby'?,Title Author ISBN ,1
What is the price of the product with the UPC code '111222333444'?,UPC ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of June?,Name PurchaseAmount Month ,1
What is the name of the employee who has the most sick days left?,Name SickDays ,1
What is the duration of the movie with the title 'The Silence of the Lambs'?,Title Duration Genre ,1
What is the email address of the customer who made a purchase with a coupon code 'SUMMER20'?,CustomerName CouponCode Email PurchaseAmount ,1
What is the length of the product with the product code 'DEF'?,ProductCode ItemName Length Width Height ,1
What is the total number of units sold for the product with product code 'LMN' in the month of September?,ProductCode ItemName QuantitySold Month ,1
What is the price of the product with the ISBN code 978-0-307-58741-1?,ISBN ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the year 2028?,CustomerName OrderNumber OrderAmount Year ,1
What is the job title of the employee with employee ID 3456?,EmployeeID Name JobTitle Salary ,1
What is the title of the book with the ISBN code 978-1-5039-0481-7?,ISBN Title Author Publisher ,1
What is the total profit for the year 2029?,Date Profit ,1
What is the name of the student who is enrolled in the course with course code 'MTH101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the most experience?,Name Experience ,1
What is the quantity on hand for the product with the product ID '456789'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product D?,SupplierName ProductName RawMaterials Email ,1
What is the billing address of the order with order number 7890?,OrderNumber CustomerName BillingAddress OrderAmount ,1
What is the name of the employee who is responsible for managing human resources?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'The Shawshank Redemption'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title 'To Kill a Mockingbird'?,Title Author ISBN ,1
What is the price of the product with the UPC code '555666777888'?,UPC ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of October?,Name PurchaseAmount Month ,1
What is the name of the employee who has the most vacation days left?,Name VacationDays ,1
What is the name of the customer who placed an order with the order ID '123456'?,CustomerName OrderID OrderAmount Date ,1
What is the height of the product with the product code 'XYZ'?,ProductCode ItemName Length Width Height ,1
What is the total revenue generated by the product with product code 'PQR' in the month of October?,ProductCode ItemName Revenue Month ,1
What is the price of the product with the ISBN code 978-0-14-242417-9?,ISBN ProductName Price Stock ,1
What is the name of the customer who placed the most orders in the year 2030?,CustomerName OrderNumber OrderAmount Year ,1
What is the department of the employee with employee ID 6789?,EmployeeID Name Department Salary ,1
What is the author of the book with the ISBN code 978-1-118-87934-0?,ISBN Title Author Publisher ,1
What is the total cost for the year 2031?,Date Cost ,1
What is the name of the student who is enrolled in the course with course code 'SCI101'?,StudentName StudentID CourseCode ,1
What is the name of the employee who has the highest salary?,Name Salary ,1
What is the quantity on hand for the product with the product ID '234567'?,ProductID ProductName QuantityOnHand Price ,1
What is the email address of the supplier who provided the raw materials for product E?,SupplierName ProductName RawMaterials Email ,1
What is the billing address of the order with order number 8901?,OrderNumber CustomerName BillingAddress OrderAmount ,1
What is the name of the employee who is responsible for managing finance?,Name Department Responsibility ,1
What is the year of release for the movie with the title 'Forrest Gump'?,Title Year Genre ,1
What is the name of the author who wrote the book with the title 'The Catcher in the Rye'?,Title Author ISBN ,1
What is the price of the product with the UPC code '999888777666'?,UPC ProductName Price Stock ,1
What is the name of the customer who made the largest purchase in the month of November?,Name PurchaseAmount Month ,1
What is the name of the employee who has the most personal days left?,Name PersonalDays ,1
What is the duration of the movie with the title 'The Matrix'?,Title Duration Genre ,1
What is the average salary of employees in this company?,employee_id name job_title salary ,1
Can you show me the list of all students in this class?,student_id name age grade ,1
What is the most popular product in your store?,product_id product_name category sales_count ,1
How many customers have made a purchase this month?,customer_id name purchase_amount purchase_date ,1
Who are the top 10 highest-paid executives in this company?,employee_id name job_title salary ,1
What is the duration of the movie?,movie_id title duration director ,1
Can you show me the list of all books published by this author?,book_id title author publication_date ,1
What is the total sales amount for this product?,product_id product_name category sales_count ,1
What is the average GPA of students in this class?,student_id name age gpa ,1
How many employees work in this department?,employee_id name job_title department ,1
What is the email address of this customer?,customer_id name email phone_number ,1
Can you show me the list of all orders placed by this customer?,order_id customer_id order_date total_amount ,1
What is the discount rate for this product?,product_id product_name category discount_rate ,1
How many students are enrolled in this course?,course_id title instructor student_count ,1
What is the current inventory level for this product?,product_id product_name category inventory_level ,1
Can you show me the list of all songs performed by this artist?,song_id title artist album ,1
What is the release date of this movie?,movie_id title release_date director ,1
How many copies of this book have been sold?,book_id title author sales_count ,1
What is the price of this product?,product_id product_name category price ,1
Can you show me the list of all employees in this department?,employee_id name job_title department ,1
What is the total number of users in this database?,user_id name email password ,1
Can you tell me the location of this store?,store_id name address phone_number ,1
How many products are currently out of stock?,product_id name price quantity ,1
Wow this database has a lot of information!,data_id information category source ,0
I'm so impressed by the design of this website!,page_id title content author ,0
What is the shipping status of my order?,order_id customer_id status shipping_address ,1
Can you show me the list of all available job positions?,job_id title description salary ,1
How many tickets have been sold for this concert?,ticket_id event_id seat_number price ,1
This database is amazing!,data_id information category source ,0
It's unbelievable how much data is stored in this database!,data_id information category source ,0
What is the average rating for this product?,product_id name price rating ,1
This website is so user-friendly!,page_id title content author ,0
Can you show me the list of all available flights?,flight_id departure destination price ,1
How many views does this video have?,video_id title views duration ,1
This database is terrible!,data_id information category source ,0
I can't believe how fast this website is!,page_id title content author ,0
What is the rating breakdown for this product?,product_id name price rating_1star rating_2star rating_3star rating_4star rating_5star ,1
This website is so slow!,page_id title content author ,0
Can you show me the list of all available apartments for rent?,apartment_id address rent bedrooms ,1
How many likes does this post have?,post_id content author likes ,1
How many books has this author published?,book_id title author publication_date ,1
Can you tell me the location of this event?,event_id name location start_time end_time ,1
What is the current temperature in this city?,city_id name temperature humidity ,1
Wow this database is so organized!,data_id information category source ,0
I'm so excited to use this website!,page_id title content author ,0
How many users have subscribed to this service?,user_id name email subscription_status ,1
Can you show me the list of all available courses?,course_id title instructor description ,1
How many seats are available for this performance?,performance_id name venue seat_count ,1
This database is a mess!,data_id information category source ,0
It's unbelievable how disorganized this database is!,data_id information category source ,0
What is the total revenue for this product?,product_id name price sales_count revenue ,1
This website is so confusing!,page_id title content author ,0
Can you show me the list of all available cars for rent?,car_id make model rental_price ,1
How many subscribers does this YouTube channel have?,channel_id name subscriber_count video_count ,1
This database is outdated!,data_id information category source ,0
I can't believe how user-unfriendly this website is!,page_id title content author ,0
What is the total cost of all orders placed in the last week?,order_id customer_id order_date total_amount ,1
This website is so poorly designed!,page_id title content author ,0
Can you show me the list of all available apartments for sale?,apartment_id address price bedrooms ,1
How many subscribers does this podcast have?,podcast_id name host subscriber_count ,1
What is the average age of employees?,name age department ,1
This table is very well-structured!,name address phone ,1
Are there any red cars available?,brand color year ,1
Wow there are so many records in this table!,name email phone ,1
What is the total revenue for the year?,date product revenue ,1
I cannot believe how messy this table is!,name age salary phone ,0
I'm so confused by the relationships between the tables.,name id department ,0
How many customers are from New York?,name city state ,1
I love the design of this table!,name address occupation ,1
What is the weather like today?,date temperature humidity ,0
How many students are in this class?,name student id grade ,1
What is the average price of a product?,name category price ,1
